
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Columbus, OH                 | Columbus, OH       | Denver, CO                | Jet Aviation Flight Services, Inc.                      |     12
 Columbus, OH                 | Columbus, OH       | Denver, CO                | Republic Airlines                                       |   4311
 Columbus, OH                 | Columbus, OH       | Denver, CO                | SkyWest Airlines Inc.                                   |      0
 Columbus, OH                 | Columbus, OH       | Denver, CO                | Southwest Airlines Co.                                  |  22814
 Columbus, OH                 | Columbus, OH       | Denver, CO                | United Air Lines Inc.                                   |   5112
 CONCORD, NC                  | CONCORD, NC        | Eagle, CO                 | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |     50
 Dallas, TX                   | Dallas, TX         | Aspen, CO                 | SkyWest Airlines Inc.                                   |   1450
 Dallas, TX                   | Dallas, TX         | Colorado Springs, CO      | American Airlines Inc.                                  |  16380
 Dallas, TX                   | Dallas, TX         | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |     76
 Dallas, TX                   | Dallas, TX         | Colorado Springs, CO      | Southwest Airlines Co.                                  |    286
 Dallas, TX                   | Dallas, TX         | Denver, CO                | American Airlines Inc.                                  |  37025
 Dallas, TX                   | Dallas, TX         | Denver, CO                | Federal Express Corporation                             |   2850
 Dallas, TX                   | Dallas, TX         | Denver, CO                | Frontier Airlines Inc.                                  |   4500
 Dallas, TX                   | Dallas, TX         | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    280
